term,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
monitoring,0,0,0,0,0.009
moon,0.013,0,0,0,0
motion,0,0.01,0.014,0,0
motions,0.02,0,0,0,0
moves,0,0,0.007,0,0
multiple,0.007,0,0,0,0.009
mutations,0,0,0,0.008,0
natural,0.007,0.03,0,0,0.018
neutral,0,0,0,0.008,0
newton’s,0,0.01,0,0,0
nonliving,0,0,0.007,0,0
object,0,0,0.041,0.008,0
object’s,0,0,0.007,0,0
objects,0.02,0.03,0,0,0
occurred,0.007,0,0,0,0
oceanic,0,0,0.007,0,0
offspring,0,0,0,0.016,0
operate,0.007,0,0,0,0
optimal,0,0,0,0.008,0
organism,0,0,0.007,0.008,0
organisms,0.026,0,0,0.031,0.001
particle,0,0,0.007,0,0
particles,0,0,0.007,0,0
past,0.013,0.01,0,0.008,0
patterns,0.02,0,0.007,0,0.009
people,0,0,0,0,0.009
phases,0.007,0,0,0,0
photosynthesis,0.007,0,0,0,0
physical,0,0,0,0.008,0
pictorial,0,0,0,0,0.009
plant,0.007,0,0,0,0
plants,0.007,0,0,0,0
plate,0.007,0,0,0,0
population,0,0.01,0,0.008,0
populations,0,0.01,0,0.016,0
potential,0.007,0,0,0,0.009
precision,0,0,0,0,0.009
predicts,0.007,0,0.007,0,0
principles,0,0,0.002,0,0.025
probability,0.007,0,0,0.008,0
process,0,0,0.007,0.008,0.009
processes,0,0.02,0.007,0,0
project,0,0,0.007,0,0
properties,0.013,0,0,0,0
proposed,0,0,0,0.008,0
proteins,0,0,0,0.008,0
pure,0,0,0.007,0,0
qualitative,0,0,0,0.008,0
questions,0,0,0,0.016,0
reaction,0.007,0,0.007,0,0
reactions,0,0,0.007,0,0
rearranged,0,0,0.007,0,0
reasoning,0.007,0,0,0,0
receptors,0,0,0,0.008,0
record,0.007,0,0,0,0
reflected,0,0,0.007,0,0
regional,0,0,0.007,0,0
related,0,0.01,0,0,0
relationships,0,0,0.009,0,0.025
release,0,0,0.007,0,0
releases,0,0,0.007,0,0
relevant,0,0,0,0,0.009
reliable,0,0,0,0.008,0
removed,0,0,0.007,0,0
representations,0,0.02,0,0,0
reproducing,0,0,0,0.008,0
reproduction,0.007,0,0,0.016,0
resource,0,0,0,0.008,0
resources,0,0.03,0,0,0
respond,0,0,0,0.008,0
result,0,0.01,0,0.008,0
rise,0,0,0,0.008,0
rock,0,0,0,0,0.009
rocks,0.007,0,0,0,0
role,0.013,0,0,0,0
rotation,0,0,0.007,0,0
rxn,0,0.01,0,0,0
sample,0,0,0.007,0,0
scale,0.007,0,0,0,0.009
scales,0,0.01,0,0,0
scientific,0.016,0.011,0,0.009,0.048
seafloor,0.007,0,0,0,0
seasons,0.007,0,0,0,0
selection,0,0.01,0,0,0
sending,0,0,0,0.008,0
sense,0,0,0,0.008,0
sensory,0,0,0,0.008,0
